solv_comb_sm,salt_comb_sm,prediction_aggr,uncertainty_aggr,explore_aggr,exploit_aggr,ratio_aggr,EI_aggr
COCCC(C)(OC)C(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,3.374448035257875e-06,0.0014775321108782486,2.4005293732334545e-07,-1.3996439825270628e-07,-0.5830563867009786,1.0008853907063915e-07
COCCOCC(C)(OC)C(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,3.4948069792029715e-06,0.0014930873691580172,2.1836369387585386e-07,-1.1995776107104624e-07,-0.5493484697105634,9.840593280480766e-08
COCC(C)(COC)COCCF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,3.600224360175974e-06,0.001514892407742379,2.1553501564920274e-07,-1.1767343403619035e-07,-0.5459597072046591,9.786158161301242e-08
COCCC(F)(F)CC(C)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,3.5234486421831743e-06,0.0015009864986925466,2.2444589893770118e-07,-1.2922760561260093e-07,-0.575762828477745,9.521829332510026e-08
COCCOCC(OC)C(C)(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,3.3669825968840734e-06,0.0014637915313138322,2.2209791326738838e-07,-1.2861338691543836e-07,-0.5790841751880756,9.348452635195e-08
COCCC(C)(C)OOC(C)(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,3.5368275635095554e-06,0.0014943925146510926,2.0753973577956038e-07,-1.1513574271319172e-07,-0.5547648130162596,9.240399306636864e-08
COCCC(F)(F)C(C)(C)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,3.537672695941819e-06,0.0015024982087749278,2.2345327931044238e-07,-1.311375307447024e-07,-0.5868677834998957,9.231574856573995e-08
COCCC(OC)(OC)C(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,3.5437672008840583e-06,0.0014900528873312956,1.9687144217544115e-07,-1.0586124847603344e-07,-0.5377176461261235,9.101019369940768e-08
COCCC(OC)C(C)(C)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,3.1904157899260374e-06,0.0014302012397254557,2.3516500883253977e-07,-1.4480110661943108e-07,-0.6157425687532598,9.036390221310867e-08
COCCOCC(C)(OC)C(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,3.434333750698212e-06,0.001469983759106993,2.0708278336471e-07,-1.1706520737736479e-07,-0.5653063256890454,9.00175759873452e-08
COCCC(C)(C)C(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,3.314260544034708e-06,0.001454753320908959,2.2938081511305767e-07,-1.3952007340613085e-07,-0.6082464801485857,8.986074170692679e-08
COCCCC(C)(C)C(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,3.3830020804567112e-06,0.0014681803685287801,2.2547898504329217e-07,-1.3722740893485704e-07,-0.6086039854601495,8.825157610843513e-08
COCC(C)(OC)OCC[Si]O[Si],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,3.275512060489217e-06,0.0014303995388815793,2.041302511934402e-07,-1.1826843481872894e-07,-0.5793773050651571,8.586181637471127e-08
