solv_comb_sm,salt_comb_sm,solv_ecfp_pca_0,solv_ecfp_pca_1,solv_ecfp_pca_2,solv_ecfp_pca_3,solv_ecfp_pca_4,solv_ecfp_pca_5,solv_ecfp_pca_6,solv_ecfp_pca_7,solv_ecfp_pca_8,solv_ecfp_pca_9,salt_ecfp_pca_0,salt_ecfp_pca_1,salt_ecfp_pca_2,salt_ecfp_pca_3,salt_ecfp_pca_4,salt_ecfp_pca_5,salt_ecfp_pca_6,salt_ecfp_pca_7,salt_ecfp_pca_8,salt_ecfp_pca_9,mol_wt_solv,mol_wt_salt,conc_salt_1,conc_salt_2,theor_capacity,amt_electrolyte,pressure_type,rank,prediction_aggr,uncertainty_aggr,explore_aggr,exploit_aggr,ratio_aggr,EI_aggr
CCCOOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.920923553,-1.603035672,0.55027397,0.249128408,-0.250718659,0.486271776,0.282187674,0.202565261,-0.139136025,-0.23258559,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,90.06807956,186.9396855,1.0,0.0,150,50,2,1482.0,1.3771348026150958e-06,0.0007290284002531206,1.6462879185277563e-08,-1.3662678408226284e-08,-4.879178136152654,2.800200777051281e-09
[CH2]CCOOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.653604727,-1.424193823,0.878122757,-0.406314048,-0.163474499,0.121482732,0.449709819,0.405105285,-0.624376888,-0.395796222,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,89.06025453,186.9396855,1.0,0.0,150,50,2,4619.0,1.5540809683676134e-06,0.0007903914631450855,1.1536462313652219e-08,-9.91469073805186e-09,-6.113493963773268,1.6217715756003594e-09
CCCOP(=O)(OC)OOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.976774464,-1.307574195,0.817351843,0.341482942,-0.258352406,0.456096735,0.319157737,0.267196145,-0.337989921,-0.30116448,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,184.0500601,186.9396855,1.0,0.0,150,50,2,2813.0,1.4147561451145593e-06,0.0007415868399620409,1.3330750558343754e-08,-1.1274423030368179e-08,-5.482795360653317,2.0563275279755735e-09
COCP(=O)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.879608637,-0.651601472,1.280381812,-0.395084062,0.304171851,0.069591361,0.741684492,0.261874782,-0.486099877,-0.311948587,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,154.0394955,186.9396855,1.0,0.0,150,50,2,1832.0,1.58834295348701e-06,0.0008110667595344547,1.5855043311290394e-08,-1.3367828371112612e-08,-5.374617269771264,2.487214940177783e-09
CCCOP(=O)(OOC)OOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.968313677,-1.300380402,0.783392524,0.353633124,-0.220335893,0.434773123,0.277325469,0.253530556,-0.311428871,-0.314880996,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,200.0449748,186.9396855,1.0,0.0,150,50,2,4515.0,1.32963251314972e-06,0.0007113929725643292,1.1199009076743274e-08,-9.563051614352149e-09,-5.845538062080621,1.6359574623911253e-09
CCCOP(C)(=O)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.008320666,-1.321492261,0.782228979,0.395804699,-0.308962544,0.458591083,0.279592174,0.261866291,-0.348437709,-0.290040883,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,152.0602309,186.9396855,1.0,0.0,150,50,2,1802.0,1.4427640037745275e-06,0.0007508230051315005,1.5345912528507262e-08,-1.2842123344991905e-08,-5.129075334913525,2.5037891835153598e-09
CCCOP(=O)(OC)OF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.97855607,-1.342412631,0.812091578,0.267691238,-0.152319983,0.454044857,0.39127443,0.178469053,-0.323698099,-0.325285061,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,172.0300737,186.9396855,1.0,0.0,150,50,2,2099.0,1.4758151705917515e-06,0.0007615721982569503,1.4693277852675295e-08,-1.2353527737949641e-08,-5.279849185688847,2.339750114725656e-09
COOP(=O)(Cl)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.613540086,-1.126665981,1.207040345,-0.490748122,0.394676704,-0.154634172,0.552316676,0.208961773,-0.664304936,-0.450767417,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,159.969223,186.9396855,1.0,0.0,150,50,2,1498.0,1.6228949514932097e-06,0.0008207994840569616,1.710198272694133e-08,-1.432375352171123e-08,-5.155713392813783,2.778229205230102e-09
COOP(=O)(OC)OC(C)(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.666746427,-1.05249041,1.259249812,-0.628035904,0.741363563,-0.127567309,0.947769458,0.011598604,-0.231385721,-0.22053176,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,198.0657102,186.9396855,1.0,0.0,150,50,2,1160.0,1.5054691934900325e-06,0.0007808607303424996,1.855965754497972e-08,-1.5358552128163918e-08,-4.797890143662104,3.201105416815804e-09
CCCCOOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.127345273,-1.745500142,0.478398881,0.749011122,-0.368132892,0.789618236,0.221574386,0.115832893,-0.024273536,-0.188074855,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,104.0837296,186.9396855,1.0,0.0,150,50,2,3516.0,1.307097869043188e-06,0.0007043932310479837,1.2140002607020317e-08,-1.0300228687116228e-08,-5.59863827597534,1.8397739199040903e-09
