solv_comb_sm,salt_comb_sm,solv_ecfp_pca_0,solv_ecfp_pca_1,solv_ecfp_pca_2,solv_ecfp_pca_3,solv_ecfp_pca_4,solv_ecfp_pca_5,solv_ecfp_pca_6,solv_ecfp_pca_7,solv_ecfp_pca_8,solv_ecfp_pca_9,salt_ecfp_pca_0,salt_ecfp_pca_1,salt_ecfp_pca_2,salt_ecfp_pca_3,salt_ecfp_pca_4,salt_ecfp_pca_5,salt_ecfp_pca_6,salt_ecfp_pca_7,salt_ecfp_pca_8,salt_ecfp_pca_9,mol_wt_solv,mol_wt_salt,conc_salt_1,theor_capacity,amt_electrolyte,norm_capacity_1,norm_capacity_2,norm_capacity_3,norm_capacity_4,norm_capacity_5,norm_capacity_6,norm_capacity_7,norm_capacity_8,norm_capacity_9,norm_capacity_10,norm_capacity_11,norm_capacity_12,norm_capacity_13,norm_capacity_14,norm_capacity_15,norm_capacity_16,norm_capacity_17,norm_capacity_18,norm_capacity_19,norm_capacity_20,norm_capacity_21,norm_capacity_22,norm_capacity_23
COCCOC,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],-0.845301314,-0.995150622,1.062719678,-0.357551944,-0.30871976,0.309455892,0.693324769,0.61307207,-0.780468556,-0.407587973,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,90.06807956,186.9396855,1,150,50,0.764486667,0.34688,0.27658,0.17872,0.09382,0.077066667,0.050366667,0.030186667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCCOC(C)C,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],-1.183255149,-0.948337914,0.615256685,-0.58226942,-1.010186872,-0.522075425,0.496895981,0.301582016,-0.507040042,-0.352331479,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,118.0993797,186.9396855,1,150,50,0.834346667,0.74414,0.66146,0.5876,0.520826667,0.456893333,0.402953333,0.36088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCCOCC(C)C,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],-1.240813652,-0.970769374,0.671104789,-0.607788696,-1.124651424,-0.436616728,0.62882414,0.421934363,-0.667953644,-0.376857272,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,132.1150298,186.9396855,1,150,50,0.36816,0.284533333,0.178386667,0.12136,0.092406667,0.07252,0.059493333,0.0459,0.03802,0.030713333,0.026093333,0.0234,0.023206667,0.022233333,0.02168,0.022966667,0,0,0,0,0,0,0
COCCOCC(C)C,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],-1.240813652,-0.970769374,0.671104789,-0.607788696,-1.124651424,-0.436616728,0.62882414,0.421934363,-0.667953644,-0.376857272,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,132.1150298,186.9396855,1,150,50,0.267146667,0.311753333,0.216953333,0.157746667,0.11502,0.08562,0.06048,0.0404,0.018046667,0.0076,0.001526667,0.001093333,0.000766667,0.000573333,0.00046,0.00036,0.000406667,0.0006,0.000593333,0.000446667,0.000333333,0,0
CCOCCOC(C)(C)C,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],-0.879184033,-1.539457397,0.507075197,-0.111829666,0.800174592,0.133052901,0.926130223,-0.208394845,0.09926732,-0.130341098,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,146.1306798,186.9396855,2.2,150,50,0.77354,0.035786667,0.026186667,0.019533333,0.02132,0.018986667,0.016993333,0.016626667,0.01662,0.01744,0.014386667,0,0,0,0,0,0,0,0,0,0,0,0
CCOCCOC(C)C,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],-1.092294722,-1.519333652,-0.056199859,-0.093035869,-0.57201212,-0.583818474,-0.053796147,-0.111618619,-0.235490166,-0.315117402,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,132.1150298,186.9396855,2,150,50,0.868633333,0.721733333,0.620446667,0.52366,0.455313333,0.40342,0.350913333,0.304686667,0.272633333,0.242053333,0.218373333,0.19062,0.154126667,0.13076,0,0,0,0,0,0,0,0,0
CCOCCOC(C)C,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],-1.092294722,-1.519333652,-0.056199859,-0.093035869,-0.57201212,-0.583818474,-0.053796147,-0.111618619,-0.235490166,-0.315117402,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,132.1150298,186.9396855,2,150,50,0.866926667,0.74042,0.643713333,0.564693333,0.50282,0.452893333,0.402253333,0.356433333,0.30402,0.26538,0.238326667,0.211733333,0.185186667,0.16508,0.146986667,0.13552,0.122253333,0.109646667,0.104446667,0.098606667,0.088353333,0,0
CCCCOCCOC,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],-1.067892401,-1.253528912,0.602356639,0.775133942,-0.714363578,1.295648251,0.646532478,0.057885571,-0.297491097,-0.275587927,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,132.1150298,186.9396855,1,150,50,0.26588,0.333046667,0.28502,0.238393333,0.206793333,0.17742,0.153606667,0.131453333,0.11314,0.097066667,0.081666667,0.066946667,0.051866667,0.038066667,0.023486667,0,0,0,0,0,0,0,0
COCCOC1CCCC1,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],0.394637021,-0.462672447,0.854415569,-0.416162254,-1.007141145,1.060702369,0.662826956,-0.394235422,-0.689026615,-0.69220093,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,144.1150298,186.9396855,1,150,50,0.719906667,0.563973333,0.46594,0.39454,0.334493333,0.28266,0.24062,0.206333333,0.175686667,0.14544,0.118546667,0.08914,0.060826667,0.034466667,0.019666667,0.019633333,0.021166667,0.022866667,0.026233333,0.025506667,0.025266667,0,0
CCCCOCCOC(C)C,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],-1.075802707,-1.758840188,-0.316575343,0.66784325,-0.912375893,0.097061384,-0.035434319,-0.6026372,0.068839516,-0.249899929,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,160.1463299,186.9396855,2,150,50,0.637586667,0.620093333,0.566,0.45884,0.31022,0.254613333,0.22024,0.179573333,0.10766,0.07786,0.055493333,0.05242,0.050393333,0.05122,0.044826667,0.041993333,0.03716,0.043613333,0.046513333,0.04848,0.050413333,0,0
