solv_comb_sm,salt_comb_sm,solv_ecfp_pca_0,solv_ecfp_pca_1,solv_ecfp_pca_2,solv_ecfp_pca_3,solv_ecfp_pca_4,solv_ecfp_pca_5,solv_ecfp_pca_6,solv_ecfp_pca_7,solv_ecfp_pca_8,solv_ecfp_pca_9,salt_ecfp_pca_0,salt_ecfp_pca_1,salt_ecfp_pca_2,salt_ecfp_pca_3,salt_ecfp_pca_4,salt_ecfp_pca_5,salt_ecfp_pca_6,salt_ecfp_pca_7,salt_ecfp_pca_8,salt_ecfp_pca_9,mol_wt_solv,mol_wt_salt,conc_salt_1,conc_salt_2,theor_capacity,amt_electrolyte,pressure_type,rank,prediction_aggr,uncertainty_aggr,explore_aggr,exploit_aggr,ratio_aggr,EI_aggr
COCCOF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.863536483,-1.039066818,1.081460973,-0.406528781,-0.227115199,0.260968675,0.755055685,0.576430744,-0.762005244,-0.443189622,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,94.04300768,186.9396855,1.0,0.0,150,50,2,1608.0,1.768581638543396e-06,0.0009086122206073817,1.3750977941546857e-08,-1.214112164891178e-08,-7.541742517301794,1.6098562926350745e-09
COCCO[Al],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.843809408,-0.989662476,1.069399438,-0.365415914,-0.311995312,0.308275111,0.678411253,0.599304145,-0.771734731,-0.40993421,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,102.0261431,186.9396855,1.0,0.0,150,50,2,1920.0,1.7696178383834695e-06,0.0009077493553447078,1.251228248485549e-08,-1.110396903485513e-08,-7.884586371629327,1.4083134500003614e-09
COCCB=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.801731333,-1.105580045,1.08300639,-0.354706705,-0.315271317,0.212796566,0.668411093,0.618926527,-0.873169934,-0.459649089,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,86.05390986,186.9396855,1.0,0.0,150,50,2,1897.0,1.749084088622962e-06,0.0009034893911805232,1.2707091753520584e-08,-1.1287596791172797e-08,-7.95183997870875,1.4194949623477861e-09
COCCOOF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.867386048,-1.041067714,1.083539521,-0.40094204,-0.225466091,0.304233225,0.783784011,0.599485157,-0.793602625,-0.450188077,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,110.0379223,186.9396855,1.0,0.0,150,50,2,1190.0,1.8994844929892568e-06,0.0009601333615308101,1.6829147543421794e-08,-1.4823002434703639e-08,-7.388798731600699,2.0061451087181534e-09
COCCCC=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.046620358,-1.064656127,0.99363777,-0.04268693,-0.413474829,0.534218828,0.629863311,0.69021654,-1.048050946,-0.485018728,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,102.0680796,186.9396855,1.0,0.0,150,50,2,1334.0,1.772657905628432e-06,0.0009152978535384687,1.5499957640086952e-08,-1.3640895733568628e-08,-7.3375155963017304,1.8590619065183234e-09
COCCOCF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.911144762,-1.066284524,1.15189928,-0.429532252,-0.251715794,0.344949204,0.850132147,0.616511592,-0.751096095,-0.442993223,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,108.0586577,186.9396855,1.0,0.0,150,50,2,782.0,1.948761090204598e-06,0.0009800408435922364,2.069097882879668e-08,-1.8025883896778184e-08,-6.76369298527226,2.665094932018501e-09
[CH]OCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.910130333,-0.953172158,0.851843758,-0.359861169,-0.277795839,0.518527682,0.729742433,0.808529492,-0.875647711,-0.422520884,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,88.0524295,186.9396855,1.0,0.0,150,50,2,2363.0,1.6793118580303399e-06,0.000877222049310616,1.126369256480428e-08,-1.0027276516525465e-08,-8.109953385419265,1.2364160482788124e-09
COCCOOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.849004281,-1.005166886,1.071052847,-0.361888875,-0.316252716,0.341838469,0.721684709,0.62558011,-0.812600012,-0.414483661,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,106.0629942,186.9396855,1.0,0.0,150,50,2,1748.0,1.7357215970168874e-06,0.0008956148720629053,1.293373415583174e-08,-1.142914139010458e-08,-7.596169309361901,1.5045927657271582e-09
COCCOP(C)(=O)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.96043326,-0.705317197,1.234669185,-0.197142494,-0.253094925,0.278965878,0.547668564,0.610352138,-0.919792071,-0.438522133,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,168.0551455,186.9396855,1.0,0.0,150,50,2,4913.0,1.5634352426408677e-06,0.000830736218358576,7.409271038356126e-09,-6.673632519331859e-09,-9.071891080667736,7.356385190242657e-10
COCCOP(=O)(OC)OF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.930668664,-0.726237568,1.264531784,-0.325255955,-0.096452364,0.274419652,0.65935082,0.526954899,-0.895052461,-0.473766311,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,188.0249883,186.9396855,1.0,0.0,150,50,2,3321.0,1.6134813466249521e-06,0.0008492796430012002,9.178392737778234e-09,-8.201227348135989e-09,-8.392875387388177,9.771653896422466e-10
