solv_comb_sm,salt_comb_sm,solv_ecfp_pca_0,solv_ecfp_pca_1,solv_ecfp_pca_2,solv_ecfp_pca_3,solv_ecfp_pca_4,solv_ecfp_pca_5,solv_ecfp_pca_6,solv_ecfp_pca_7,solv_ecfp_pca_8,solv_ecfp_pca_9,salt_ecfp_pca_0,salt_ecfp_pca_1,salt_ecfp_pca_2,salt_ecfp_pca_3,salt_ecfp_pca_4,salt_ecfp_pca_5,salt_ecfp_pca_6,salt_ecfp_pca_7,salt_ecfp_pca_8,salt_ecfp_pca_9,mol_wt_solv,mol_wt_salt,conc_salt_1,conc_salt_2,theor_capacity,amt_electrolyte,pressure_type,norm_capacity_3_avg_pred,rank,prediction_aggr,uncertainty_aggr,explore_aggr,exploit_aggr,ratio_aggr,EI_aggr
COCCOF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.8635364825318267,-1.0390668183071334,1.0814609731257103,-0.4065287813202636,-0.2271151986265379,0.2609686746659562,0.7550556852544725,0.5764307438415908,-0.7620052442286265,-0.443189622205597,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,94.043007684,186.93968547,1.0,0.0,150,50,2,0.3615560840034231,963.0,1.768581638543396e-06,0.0009086122206073817,1.3750977941546857e-08,-1.214112164891178e-08,-7.541742517301794,1.6098562926350745e-09
CCCOOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.9209235533236904,-1.6030356723733092,0.5502739695562592,0.2491284084300369,-0.2507186586011569,0.4862717762047237,0.2821876735033798,0.2025652605533321,-0.1391360251900644,-0.2325855900664639,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,90.06807956,186.93968547,1.0,0.0,150,50,2,0.2723078775681699,4969.0,1.3215608913242636e-06,0.0007415901390925953,4.638332784226779e-09,-4.199308040065725e-09,-9.565082824865154,4.3902474416105496e-10
[CH2]CCOOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.6536047271706751,-1.4241938227619255,0.8781227570344716,-0.4063140482823946,-0.1634744994973953,0.121482731662389,0.4497098189329512,0.4051052846140885,-0.624376888028533,-0.3957962218244207,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,89.060254528,186.93968547,1.0,0.0,150,50,2,0.3199324834171392,2059.0,1.5612578286703678e-06,0.0008276971881851323,7.006356713547019e-09,-6.317581895911108e-09,-9.172202197512094,6.887748176359124e-10
COP(=O)(OC)OCF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.6210014014620117,-1.1154586930674912,1.065245192091088,-0.4088023058464554,0.0719749258281838,0.0057665856906799,0.3263893393037039,0.2387805350981174,-0.7738399247548043,-0.5506608551562842,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,158.01442358600002,186.93968547,1.0,0.0,150,50,2,0.2828539700559463,4145.0,1.3861658840072268e-06,0.0007603619913409961,4.322255756905969e-09,-3.928531291411365e-09,-9.977869387609108,3.937244654946037e-10
CCOP(=O)(OCC)OCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.1049976282299436,-0.6712108373610713,1.0040612324005391,0.1357978323543044,-0.1796039779073264,0.4678625408913394,0.4067471283232534,0.4842538688953411,-0.6043564932270786,-0.4126553409661725,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,212.081360274,186.93968547,1.0,0.0,150,50,2,0.2760504042671018,4683.0,1.3346536188770285e-06,0.0007471378252795394,4.879251245715222e-09,-4.410975994100041e-09,-9.419622281736332,4.682752516151805e-10
COCC=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.6156472985063689,-1.0379024908103027,1.0275863026142802,-0.3466896423256125,-0.0273412104062043,0.0397132019017389,0.2867062325279833,0.2916007067746707,-0.6738381442991492,-0.3735111610978268,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,74.036779432,186.93968547,1.0,0.0,150,50,2,0.2796926023695794,4382.0,1.3493495157018728e-06,0.0007525390780011375,4.017076329584907e-09,-3.665042427946619e-09,-10.411049648600113,3.520339016382875e-10
COP(=O)(OCF)OCF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.6113603920892647,-1.1056271696389788,1.0763032107170962,-0.4065698833576293,0.0778201445919946,0.0204433382053262,0.3149477313333587,0.2400576776785885,-0.7552784138172074,-0.5451106446525034,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,176.005001774,186.93968547,1.0,0.0,150,50,2,0.2836162651795988,4096.0,1.3892410508602981e-06,0.0007617454947327995,4.2695969730811235e-09,-3.8827957816041006e-09,-10.038220840989204,3.8680119147702226e-10
COCB(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.6081687568772282,-1.4412122303836623,0.926964960404964,-0.5461847945918711,-0.0796391808585605,0.0401260289896164,0.4872288627485965,0.3702322674504272,-0.5752157156299542,-0.3917309352689163,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,94.04015162,186.93968547,1.0,0.0,150,50,2,0.3050741379415457,2725.0,1.4894939201171255e-06,0.0008002311884582888,6.082986837448169e-09,-5.494011628256082e-09,-9.328086382094709,5.889752091920862e-10
COCCO[Al],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.8438094076410356,-0.9896624758732387,1.0693994378582623,-0.3654159137249329,-0.3119953121918501,0.3082751114374767,0.6784112526659563,0.5993041446111464,-0.7717347310229048,-0.4099342104654995,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,102.026143094,186.93968547,1.0,0.0,150,50,2,0.3610962611467974,972.0,1.7696178383834695e-06,0.0009077493553447078,1.251228248485549e-08,-1.110396903485513e-08,-7.884586371629327,1.4083134500003614e-09
COCCB=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.8017313325727127,-1.105580045250545,1.0830063899432398,-0.3547067054921975,-0.3152713167531762,0.2127965656679813,0.668411092953336,0.6189265270198214,-0.8731699336120488,-0.4596490886387026,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,86.053909864,186.93968547,1.0,0.0,150,50,2,0.3605287339282408,979.0,1.749084088622962e-06,0.0009034893911805232,1.2707091753520584e-08,-1.1287596791172797e-08,-7.95183997870875,1.4194949623477861e-09
